mtalg,numexpr,numba,numpy
0.008125911001116037,0.0006922888569533825,0.00023577618412673473,0.00010705296881496906
0.01140288496389985,0.0006923689506947994,0.00013372907415032387,0.00010495609603822231
0.009254068834707141,0.0008464320562779903,0.0018120799213647842,0.00019726413302123547
0.00803392194211483,0.0008581650909036398,0.00014136801473796368,0.00018830294720828533
0.008082594955340028,0.0010150140151381493,0.00021740514785051346,0.00025942386128008366
0.008916341001167893,0.0007358400616794825,0.00018976093269884586,0.00021789595484733582
0.00900278496555984,0.0023132951464504004,0.0001849280670285225,0.00036522094160318375
0.012177480151876807,0.002016552025452256,0.00023100897669792175,0.00047620409168303013
0.006649435963481665,0.003942195093259215,0.00029448000714182854,0.00056664296425879
0.0072412630543112755,0.0009534249547868967,0.0002520990092307329,0.0004356349818408489
0.00793500104919076,0.0011489810422062874,0.00026665697805583477,0.0005348171107470989
0.00834869802929461,0.001351421931758523,0.0003282229881733656,0.0006204659584909678
0.007725485833361745,0.001158745028078556,0.00043560005724430084,0.0007288989145308733
0.006928674876689911,0.0008531478233635426,0.003199217142537236,0.0008818700443953276
0.007918953895568848,0.0007647238671779633,0.00039969407953321934,0.0009326240979135036
0.007166787050664425,0.0007991499733179808,0.0004331651143729687,0.0012690681032836437
0.007366332923993468,0.0006885919719934464,0.0005616541020572186,0.0014344570226967335
0.007189830997958779,0.0013345370534807444,0.000576928025111556,0.0018289259169250727
0.007623848970979452,0.0013657771050930023,0.0006139799952507019,0.0027788300067186356
0.007700765039771795,0.0012069819495081902,0.0008107388857752085,0.0031116739846765995
0.008057730970904231,0.005026713944971561,0.0008275650907307863,0.003965860931202769
0.007708391873165965,0.0015065320767462254,0.001118403160944581,0.004867494804784656
0.007789793889969587,0.0017844720277935266,0.0013225201983004808,0.005566706880927086
0.009066036902368069,0.004041742999106646,0.0038956799544394016,0.006553074112161994
0.009785586968064308,0.004694537026807666,0.002534409984946251,0.017678983975201845
0.009780967840924859,0.005141431000083685,0.0029102859552949667,0.0197261159773916
0.009473446989431977,0.008117170073091984,0.0034563830122351646,0.023392012109979987
0.008814214961603284,0.010335061000660062,0.007749940035864711,0.030932910041883588
0.011050366098061204,0.011184026952832937,0.009573275921866298,0.035557109862565994
0.00972578302025795,0.01317251892760396,0.010275640059262514,0.041063069831579924
0.009909431915730238,0.014373089885339141,0.01266853092238307,0.04730977094732225
0.0113397769164294,0.017643462168052793,0.017072576098144054,0.053809805074706674
0.013203219044953585,0.017582302913069725,0.01837689196690917,0.06284817797131836
0.012008147081360221,0.022579591954126954,0.01791758299805224,0.07202704111114144
0.014744746964424849,0.025561853079125285,0.019745202967897058,0.08234683889895678
0.011198067106306553,0.02697410900145769,0.021328809903934598,0.09321566903963685
0.013516240986064076,0.02806414687074721,0.031010740203782916,0.1025269809179008
0.014882058138027787,0.028834336902946234,0.040530189871788025,0.11821219092234969
0.011069982079789042,0.03591511305421591,0.036378494929522276,0.14333524485118687
0.012423712061718106,0.03697071806527674,0.03755879495292902,0.16010125796310604
0.01850608899258077,0.04329251893796027,0.04313926608301699,0.18416361697018147
0.015743518015369773,0.04774486483074725,0.053804924013093114,0.208976109046489
0.01550191012211144,0.054007420083507895,0.05416605691425502,0.23787609999999404
0.01749869203194976,0.06269552512094378,0.07043524901382625,0.2784553689416498
0.021736975060775876,0.076870147138834,0.08148339996114373,0.328598058084026
0.023394884075969458,0.08349672495387495,0.10471535986289382,0.37838071188889444
0.024007597006857395,0.1006475081667304,0.09993730206042528,0.4327374449931085
0.02781703299842775,0.1078754449263215,0.11071645701304078,0.4869078469928354
0.03025216399691999,0.12027220008894801,0.14323472301475704,0.5555671851616353
0.03418316296301782,0.1376000561285764,0.1714842210058123,0.6233754188288003
